"SKU";"M-Title";"Company";"Image-URL-S";"Image-URL-M";"Image-URL-L"
"1";"Rival 3";"Steelseries";"https://m.media-amazon.com/images/I/71EOtRi-c6L._AC_UF894,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/71EOtRi-c6L._AC_UF894,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/71EOtRi-c6L._AC_UF894,1000_QL80_.jpg"
"2";"Aerox 5";"Steelseries";"https://m.media-amazon.com/images/I/81-nE4e2YvL.jpg";"https://m.media-amazon.com/images/I/81-nE4e2YvL.jpg";"https://m.media-amazon.com/images/I/81-nE4e2YvL.jpg
"3";"M1";"Keychron";"https://images-na.ssl-images-amazon.com/images/I/61nZFT1tUeL._AC_UL600_SR600,600_.jpg";"https://images-na.ssl-images-amazon.com/images/I/61nZFT1tUeL._AC_UL600_SR600,600_.jpg";"https://images-na.ssl-images-amazon.com/images/I/61nZFT1tUeL._AC_UL600_SR600,600_.jpg"
"4";"M3";"Keychron";"https://m.media-amazon.com/images/I/61gB1njl6BL._AC_UF1000,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/61gB1njl6BL._AC_UF1000,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/61gB1njl6BL._AC_UF1000,1000_QL80_.jpg"
"5";"Viper";"Razer";"https://m.media-amazon.com/images/I/71ECuJJK92L._AC_UF894,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/71ECuJJK92L._AC_UF894,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/71ECuJJK92L._AC_UF894,1000_QL80_.jpg"
"6";"Deathadder V3";"Razer";"https://m.media-amazon.com/images/I/51XO3LBZEJL._AC_UF894,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/51XO3LBZEJL._AC_UF894,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/51XO3LBZEJL._AC_UF894,1000_QL80_.jpg"
"7";"G Pro Wireless";"Logitech";"https://m.media-amazon.com/images/I/51ySu55JzAL._AC_UF894,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/51ySu55JzAL._AC_UF894,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/51ySu55JzAL._AC_UF894,1000_QL80_.jpg"
"8";"G502";"Logitech";"https://m.media-amazon.com/images/I/71WHWIq2VBL._AC_UF894,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/71WHWIq2VBL._AC_UF894,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/71WHWIq2VBL._AC_UF894,1000_QL80_.jpg"
"9";"X2 Wireless";"Pulsar";"https://m.media-amazon.com/images/I/61wKhxyyIbL._AC_UF894,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/61wKhxyyIbL._AC_UF894,1000_QL80_.jpg";"https://m.media-amazon.com/images/I/61wKhxyyIbL._AC_UF894,1000_QL80_.jpg"
"10";"Model O";"Glorious";"https://m.media-amazon.com/images/I/71SmrOjHDFL.jpg";"https://m.media-amazon.com/images/I/71SmrOjHDFL.jpg";"https://m.media-amazon.com/images/I/71SmrOjHDFL.jpg"
